System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0dataIn,SKT0dataIn,SKT0dataIn,SKT0dataIn (percent),SKT0dataIn (percent),SKT0dataIn (percent),SKT1dataIn,SKT1dataIn,SKT1dataIn,SKT1dataIn (percent),SKT1dataIn (percent),SKT1dataIn (percent),SKT0trafficOut,SKT0trafficOut,SKT0trafficOut,SKT0trafficOut (percent),SKT0trafficOut (percent),SKT0trafficOut (percent),SKT1trafficOut,SKT1trafficOut,SKT1trafficOut,SKT1trafficOut (percent),SKT1trafficOut (percent),SKT1trafficOut (percent),SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,Frontend_bound(%),Bad_Speculation(%),Backend_Bound(%),Retiring(%),READ,WRITE,LOCAL,PMM_RD,PMM_WR,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,TotalUPIin,UPItoMC,TotalUPIout,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C6res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,Frontend_bound(%),Bad_Speculation(%),Backend_Bound(%),Retiring(%),L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,Frontend_bound(%),Bad_Speculation(%),Backend_Bound(%),Retiring(%),L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,UPI0,UPI1,UPI2,UPI0,UPI1,UPI2,UPI0,UPI1,UPI2,UPI0,UPI1,UPI2,UPI0,UPI1,UPI2,UPI0,UPI1,UPI2,UPI0,UPI1,UPI2,UPI0,UPI1,UPI2,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C6res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C6res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,
2026-03-14,20:17:23.676,0.02,1.45,0.01,0.86,1.87,3.80,0.50,0.62,0.0005,0.0011,24,6,37,31,0.63,0.72,39,0.00,0.00,3531.82,2429.27,2205.33,2.91,58.15,0.03,0.62,648.39,0.48,1792.17,1.23,1.80,0.00,96.97,0.00,59.67,40.31,0.02,114.84,10.59,200.96,1.18,0.01,1.29,0.01,0.76,0.31,1.55,0.80,0.72,0.0003,0.0014,35,12,25,25, 29484,217,19,0.49,0.65,29,0.00,0.00,47,1075.30,831.25,2205.33,2.59,51.74,0.02,0.38,0.02,1.54,0.01,0.92,1.56,2.26,0.30,0.49,0.0006,0.0009,18,2,43,34, 40300,136,579,0.14,0.07,85,0.00,0.00,46,2456.51,1598.03,2205.33,3.07,61.49,0.04,0.86,100.77,100.84,100.93,  0%,  0%,  0%,115.29,115.32,115.25,  0%,  0%,  0%,307.23,301.19,302.33,  1%,  1%,  1%,290.95,294.50,295.98,  1%,  1%,  1%,0.95,1.67,0.00,97.38,0.00,52.74,47.24,0.02,1.52,1.92,0.00,96.56,0.00,66.61,33.38,0.02,58.55,56.29,5.83 ,4.76 ,158.96 ,211.89 ,1.20,1.15,
2026-03-14,20:17:24.675,0.05,0.64,0.08,0.95,0.33,2.83,0.88,0.76,0.0000,0.0002,16,2,50,30,0.18,0.13,92,0.00,0.00,11793.32,18506.12,2193.31,1.27,25.49,0.10,2.07,27.92,0.09,163.33,8.52,6.19,0.00,85.29,0.00,57.94,42.06,0.00,117.01,9.81,189.12,0.94,0.07,0.72,0.09,0.96,0.21,2.55,0.91,0.78,0.0000,0.0003,22,3,40,32, 26104,185,14,0.15,0.11,96,0.00,0.00,47,7714.03,10771.15,2193.31,1.43,28.65,0.14,2.70,0.04,0.53,0.07,0.95,0.12,0.28,0.56,0.21,0.0000,0.0001,9,0,61,28, 40352,19,6,0.03,0.02,61,0.00,0.00,46,4079.29,7734.97,2193.31,1.05,21.10,0.07,1.43,6.61,6.63,6.66,  0%,  0%,  0%,2.68,2.69,2.66,  0%,  0%,  0%,25.43,25.80,26.04,  0%,  0%,  0%,29.06,28.55,28.46,  0%,  0%,  0%,9.88,6.55,0.00,83.57,0.00,98.14,1.86,0.00,7.17,5.83,0.00,87.00,0.00,17.74,82.26,0.00,59.84,57.17,5.28 ,4.53 ,190.14 ,185.12 ,0.95,0.93,
2026-03-14,20:17:25.675,0.05,0.66,0.08,0.96,0.54,3.49,0.84,0.75,0.0000,0.0003,17,2,49,30,0.19,0.16,90,0.00,0.00,12289.88,18569.54,2194.94,1.32,26.47,0.11,2.15,40.08,0.12,214.66,8.51,5.88,0.00,85.61,0.00,57.84,42.16,0.00,162.60,13.33,125.05,2.03,0.07,0.79,0.09,0.96,0.42,3.18,0.86,0.76,0.0001,0.0004,17,4,47,30, 28652,215,17,0.16,0.13,96,0.00,0.00,46,7816.68,9939.81,2194.94,1.57,31.46,0.14,2.74,0.04,0.52,0.08,0.96,0.11,0.31,0.60,0.27,0.0000,0.0001,16,0,51,31, 38272,20,16,0.03,0.03,55,0.00,0.00,46,4473.19,8629.74,2194.94,1.04,20.73,0.08,1.57,8.40,8.37,8.38,  0%,  0%,  0%,5.00,4.96,4.97,  0%,  0%,  0%,33.99,34.54,35.08,  0%,  0%,  0%,37.47,36.80,36.78,  0%,  0%,  0%,9.10,7.17,0.00,83.72,0.00,99.93,0.07,0.00,7.91,4.58,0.00,87.50,0.00,15.74,84.26,0.00,84.89,77.71,8.88 ,4.46 ,121.38 ,130.07 ,2.08,1.97,
2026-03-14,20:17:26.675,0.02,1.91,0.01,0.89,0.24,2.60,0.90,0.79,0.0001,0.0006,34,16,13,35,0.15,0.12,95,0.00,0.00,4030.57,2114.37,2194.64,3.81,76.25,0.04,0.71,13.83,0.05,116.01,1.04,1.67,0.00,97.29,0.00,52.73,47.27,0.00,134.94,11.40,130.39,1.67,0.04,1.94,0.02,0.92,0.21,2.45,0.91,0.80,0.0001,0.0006,34,16,13,35, 33020,192,8,0.14,0.10,99,0.00,0.00,45,4008.81,2063.30,2194.64,3.89,77.72,0.07,1.41,0.00,0.43,0.00,0.36,0.03,0.15,0.76,0.24,0.0015,0.0067,38,8,40,12, 38324,11,0,0.01,0.01,45,0.00,0.00,46,21.75,51.06,2194.64,0.85,17.04,0.00,0.01,3.03,3.05,3.06,  0%,  0%,  0%,1.56,1.59,1.55,  0%,  0%,  0%,18.60,18.87,19.00,  0%,  0%,  0%,20.01,19.79,19.75,  0%,  0%,  0%,1.96,2.64,0.00,95.40,0.00,99.93,0.07,0.00,0.12,0.70,0.00,99.18,0.00,5.52,94.48,0.00,69.87,65.07,6.96 ,4.44 ,128.72 ,146.71 ,1.67,1.68,
2026-03-14,20:17:27.675,0.02,1.78,0.01,0.88,0.43,3.53,0.88,0.80,0.0001,0.0009,33,16,16,33,0.17,0.12,93,0.00,0.00,3970.38,2226.59,2195.66,3.57,71.33,0.03,0.70,20.82,0.07,151.46,1.11,1.69,0.00,97.20,0.00,52.91,47.09,0.00,139.15,12.52,138.48,1.72,0.03,1.82,0.02,0.92,0.38,3.31,0.89,0.81,0.0001,0.0008,33,16,15,33, 33228,208,19,0.15,0.10,99,0.00,0.00,44,3939.38,2160.82,2195.66,3.65,72.92,0.07,1.38,0.00,0.47,0.00,0.36,0.05,0.21,0.74,0.20,0.0017,0.0069,30,8,48,12, 38896,13,2,0.02,0.02,44,0.00,0.00,45,31.00,65.78,2195.66,0.94,18.85,0.00,0.01,5.22,5.18,5.22,  0%,  0%,  0%,1.75,1.74,1.72,  0%,  0%,  0%,24.00,24.01,23.80,  0%,  0%,  0%,26.44,26.41,26.81,  0%,  0%,  0%,2.07,2.77,0.00,95.16,0.00,100.00,0.00,0.00,0.16,0.61,0.00,99.23,0.00,5.81,94.19,0.00,73.58,65.57,8.09 ,4.43 ,134.39 ,145.60 ,1.77,1.68,
2026-03-14,20:17:28.676,0.02,1.86,0.01,0.87,0.33,3.29,0.90,0.77,0.0001,0.0009,33,17,14,34,0.16,0.12,94,0.00,0.00,3782.67,2029.19,2195.64,3.73,74.57,0.03,0.66,17.77,0.06,129.36,1.03,1.84,0.00,97.13,0.00,51.51,44.43,4.07,151.43,13.37,117.29,2.06,0.03,1.91,0.02,0.91,0.28,3.05,0.91,0.78,0.0001,0.0008,33,17,13,35, 31044,212,9,0.14,0.11,99,0.00,0.00,47,3751.61,1960.74,2195.64,3.83,76.53,0.07,1.31,0.00,0.45,0.00,0.36,0.06,0.24,0.75,0.21,0.0018,0.0076,38,9,39,12, 38688,15,0,0.02,0.02,51,0.00,0.00,46,31.05,68.45,2195.64,0.91,18.15,0.00,0.01,3.83,3.85,3.86,  0%,  0%,  0%,2.08,2.09,2.06,  0%,  0%,  0%,20.89,20.97,20.79,  0%,  0%,  0%,22.14,22.20,22.36,  0%,  0%,  0%,1.89,2.78,0.00,95.33,0.00,94.91,1.02,4.07,0.16,0.91,0.00,98.93,0.00,8.11,87.83,4.07,79.79,71.63,8.86 ,4.51 ,112.82 ,131.65 ,2.11,2.01,
2026-03-14,20:17:29.676,0.00,0.95,0.00,0.57,0.35,2.64,0.86,0.79,0.0004,0.0028,39,8,31,20,0.24,0.18,84,0.00,0.00,957.20,1009.26,2194.48,1.90,37.94,0.01,0.17,62.92,0.15,302.06,0.77,1.63,0.00,97.60,0.00,39.72,44.84,15.44,130.25,12.12,153.35,1.58,0.01,0.98,0.01,0.59,0.30,2.45,0.87,0.80,0.0003,0.0026,39,8,30,21, 30316,264,22,0.18,0.16,99,0.00,0.00,46,929.05,947.33,2194.48,1.96,39.23,0.02,0.33,0.00,0.45,0.00,0.36,0.05,0.19,0.73,0.22,0.0017,0.0066,32,8,46,12, 36712,11,5,0.06,0.02,16,0.00,0.00,46,28.15,61.93,2194.48,0.91,18.18,0.00,0.01,18.89,18.86,18.87,  0%,  0%,  0%,2.09,2.14,2.07,  0%,  0%,  0%,43.82,43.46,43.34,  0%,  0%,  0%,57.05,56.97,57.41,  0%,  0%,  0%,1.40,2.59,0.00,96.02,0.00,73.20,11.36,15.44,0.15,0.67,0.00,99.18,0.00,6.24,78.32,15.44,65.84,64.41,7.14 ,4.99 ,151.47 ,147.61 ,1.62,1.54,
2026-03-14,20:17:30.675,0.00,0.86,0.00,0.55,0.14,2.44,0.94,0.82,0.0002,0.0030,40,8,31,19,0.16,0.17,94,0.00,0.00,826.67,959.66,2194.67,1.72,34.46,0.01,0.14,20.15,0.06,174.37,0.77,1.59,0.00,97.64,0.00,39.73,38.59,21.68,129.10,12.17,160.00,1.54,0.01,0.89,0.01,0.57,0.10,2.25,0.95,0.83,0.0001,0.0028,41,8,30,19, 31824,252,0,0.15,0.16,96,0.00,0.00,46,798.28,894.79,2194.67,1.78,35.69,0.01,0.28,0.00,0.44,0.00,0.36,0.04,0.19,0.78,0.23,0.0014,0.0066,36,7,43,12, 36816,8,8,0.01,0.01,60,0.00,0.00,46,28.38,64.87,2194.67,0.88,17.50,0.00,0.01,3.25,3.26,3.26,  0%,  0%,  0%,3.44,3.52,3.42,  0%,  0%,  0%,29.34,29.38,29.19,  0%,  0%,  0%,28.73,28.79,28.94,  0%,  0%,  0%,1.38,2.51,0.00,96.10,0.00,73.38,4.93,21.69,0.16,0.66,0.00,99.18,0.00,6.09,72.24,21.67,65.34,63.76,7.40 ,4.77 ,152.66 ,173.36 ,1.57,1.50,
2026-03-14,20:17:31.675,0.00,0.96,0.00,0.57,0.33,2.57,0.87,0.81,0.0003,0.0026,39,7,31,20,0.18,0.17,95,0.00,0.00,974.13,1017.70,2195.48,1.91,38.29,0.01,0.17,19.79,0.06,186.66,0.78,1.62,0.00,97.60,0.00,39.53,38.77,21.70,124.40,11.71,163.86,1.44,0.01,0.99,0.01,0.60,0.28,2.36,0.88,0.82,0.0003,0.0025,39,7,30,21, 32552,275,12,0.16,0.15,99,0.00,0.00,47,947.03,952.83,2195.48,1.99,39.76,0.02,0.33,0.00,0.42,0.00,0.36,0.05,0.21,0.75,0.21,0.0018,0.0076,33,7,47,11, 36764,9,3,0.02,0.02,43,0.00,0.00,46,27.10,64.87,2195.48,0.84,16.71,0.00,0.01,4.99,4.97,4.99,  0%,  0%,  0%,1.62,1.66,1.57,  0%,  0%,  0%,30.01,29.98,29.81,  0%,  0%,  0%,32.17,32.24,32.45,  0%,  0%,  0%,1.40,2.63,0.00,95.97,0.00,73.19,5.10,21.71,0.16,0.61,0.00,99.23,0.00,5.87,72.43,21.70,62.69,61.70,6.85 ,4.86 ,163.99 ,152.44 ,1.46,1.42,
2026-03-14,20:17:32.675,0.00,0.94,0.00,0.57,0.12,1.36,0.91,0.89,0.0002,0.0018,38,6,35,20,0.14,0.14,97,0.00,0.00,761.25,808.60,2193.71,1.88,37.66,0.01,0.13,9.89,0.04,102.09,0.62,1.47,0.00,97.91,0.00,38.56,37.40,24.04,92.48,9.89,287.87,0.61,0.01,0.99,0.01,0.60,0.09,1.18,0.92,0.90,0.0001,0.0016,38,6,34,20, 31044,237,7,0.13,0.13,99,0.00,0.00,47,737.66,747.04,2193.71,1.97,39.50,0.01,0.26,0.00,0.38,0.00,0.36,0.03,0.18,0.84,0.21,0.0011,0.0076,37,7,43,10, 37024,7,0,0.01,0.01,51,0.00,0.00,47,23.58,61.56,2193.71,0.77,15.32,0.00,0.01,2.08,2.11,2.10,  0%,  0%,  0%,1.18,1.25,1.17,  0%,  0%,  0%,16.69,16.81,16.73,  0%,  0%,  0%,17.33,17.27,17.27,  0%,  0%,  0%,1.09,2.37,0.00,96.54,0.00,71.90,4.05,24.05,0.15,0.56,0.00,99.29,0.00,5.22,70.74,24.04,46.08,46.40,4.86 ,5.03 ,286.26 ,298.35 ,0.61,0.61,
2026-03-14,20:17:33.678,0.00,0.53,0.01,0.79,1.21,2.52,0.51,0.71,0.0012,0.0026,15,2,68,12,3.52,2.12,99,0.00,0.00,976.89,1830.81,2194.23,1.07,21.34,0.01,0.17,31.70,0.01,315.89,1.01,1.80,0.00,97.19,0.00,46.32,40.59,13.09,103.02,13.03,185.83,0.88,0.01,0.54,0.02,0.84,1.15,2.27,0.48,0.73,0.0012,0.0024,14,2,70,13, 37180,5341,25,3.49,2.09,99,0.00,0.00,47,942.11,1735.84,2194.23,1.09,21.71,0.02,0.33,0.00,0.37,0.00,0.36,0.06,0.26,0.76,0.20,0.0017,0.0074,33,7,48,10, 37388,13,10,0.03,0.02,36,0.00,0.00,46,34.78,94.97,2194.23,0.73,14.65,0.00,0.01,8.39,8.39,8.38,  0%,  0%,  0%,2.20,2.19,2.15,  0%,  0%,  0%,50.59,50.29,50.63,  0%,  0%,  0%,55.06,54.31,55.00,  0%,  0%,  0%,1.80,2.80,0.00,95.40,0.00,84.72,2.18,13.10,0.23,0.79,0.00,98.98,0.00,7.91,78.99,13.09,53.94,49.08,7.99 ,5.03 ,166.98 ,224.43 ,0.98,0.78,
2026-03-14,20:17:34.682,0.07,0.17,0.44,0.99,7.69,9.73,0.18,0.65,0.0005,0.0006,16,0,73,10,3.31,1.86,97,0.00,0.00,16896.76,102028.90,2203.88,0.33,6.62,0.15,2.94,175.09,0.03,863.08,45.00,1.22,0.00,53.78,0.00,73.08,25.98,0.94,168.08,13.87,143.07,1.62,0.09,0.20,0.45,0.99,7.47,8.97,0.15,0.66,0.0007,0.0009,16,0,71,11, 36712,4866,9,3.28,1.84,97,0.00,0.00,43,10517.09,51663.60,2203.88,0.41,8.14,0.18,3.66,0.06,0.13,0.44,0.99,0.22,0.75,0.62,0.47,0.0000,0.0001,16,0,74,9, 35828,17,164,0.03,0.02,43,0.00,0.00,44,6379.68,50365.30,2203.88,0.25,5.07,0.11,2.22,24.10,23.89,24.92,  0%,  0%,  0%,34.46,33.61,34.11,  0%,  0%,  0%,147.93,146.39,148.64,  0%,  0%,  0%,142.79,137.59,139.73,  0%,  0%,  0%,45.59,1.71,0.00,52.69,0.00,98.80,0.26,0.94,44.40,0.74,0.00,54.86,0.00,47.37,51.70,0.94,86.46,81.62,9.38 ,4.49 ,108.23 ,256.72 ,1.68,1.56,
2026-03-14,20:17:35.674,0.15,0.15,1.00,1.00,1.97,2.74,0.21,0.89,0.0001,0.0001,16,0,73,9,0.90,0.80,66,0.00,0.00,33043.68,226209.37,2185.49,0.29,5.84,0.29,5.84,447.07,0.26,1246.31,99.91,0.08,0.00,0.01,0.00,100.00,0.00,0.00,234.86,17.71,359.10,2.19,0.17,0.17,1.00,1.00,1.14,1.64,0.24,0.93,0.0001,0.0001,16,0,72,10, 39156,847,13,0.87,0.73,65,0.00,0.00,43,19131.04,113003.22,2185.49,0.34,6.77,0.34,6.76,0.12,0.12,1.00,1.00,0.83,1.10,0.16,0.53,0.0001,0.0001,16,0,74,9, 38012,69,413,0.03,0.07,84,0.00,0.00,42,13912.65,113206.15,2185.49,0.25,4.92,0.25,4.92,18.53,18.53,18.49,  0%,  0%,  0%,130.56,130.46,130.49,  0%,  0%,  0%,248.61,248.25,248.72,  1%,  1%,  1%,172.70,163.48,164.56,  0%,  0%,  0%,99.81,0.17,0.00,0.02,0.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,119.18,115.68,9.10 ,8.60 ,306.89 ,392.12 ,2.20,2.19,
2026-03-14,20:17:36.674,0.15,0.15,1.00,1.00,0.56,1.31,0.47,0.94,0.0000,0.0000,16,0,73,9,0.76,0.79,87,0.00,0.00,33216.04,228255.92,2194.78,0.29,5.82,0.29,5.82,196.80,0.13,781.86,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,237.01,18.16,191.21,2.20,0.17,0.17,1.00,1.00,0.35,0.80,0.48,0.96,0.0000,0.0000,16,0,72,10, 38896,875,10,0.58,0.59,83,0.00,0.00,42,19215.96,114128.13,2194.78,0.34,6.73,0.34,6.73,0.12,0.12,1.00,1.00,0.21,0.51,0.46,0.55,0.0000,0.0000,16,0,74,9, 39312,340,173,0.18,0.20,96,0.00,0.00,42,14000.09,114127.79,2194.78,0.25,4.91,0.25,4.91,14.40,14.42,14.21,  0%,  0%,  0%,51.21,51.33,51.23,  0%,  0%,  0%,144.33,144.07,143.96,  0%,  0%,  0%,118.54,115.01,115.95,  0%,  0%,  0%,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,119.85,117.16,9.06 ,9.11 ,125.88 ,215.34 ,2.20,2.20,
2026-03-14,20:17:37.674,0.05,0.43,0.11,0.99,7.16,9.46,0.14,0.46,0.0007,0.0009,14,0,67,17,4.85,3.84,87,0.00,0.00,10686.63,24882.26,2193.97,0.86,17.18,0.09,1.87,1143.43,0.13,3620.37,10.97,1.56,0.00,87.46,0.00,57.75,42.25,0.00,168.81,20.20,316.02,2.16,0.07,0.62,0.12,0.99,3.82,5.06,0.16,0.52,0.0004,0.0006,14,0,62,21, 39208,4503,255,3.42,2.68,87,0.00,0.00,43,8483.62,13718.15,2193.97,1.24,24.74,0.15,2.97,0.02,0.20,0.10,0.99,3.34,4.41,0.12,0.35,0.0015,0.0020,14,0,74,11, 11232,2011,930,1.43,1.16,88,0.00,0.00,45,2203.00,11164.12,2193.97,0.39,7.89,0.04,0.77,146.56,146.09,146.41,  0%,  0%,  0%,235.17,234.65,234.55,  0%,  0%,  0%,640.34,639.97,631.10,  2%,  2%,  2%,577.64,563.54,567.78,  2%,  2%,  2%,12.10,2.51,0.00,85.40,0.00,100.00,0.00,0.00,9.85,0.62,0.00,89.53,0.00,15.49,84.51,0.00,89.24,79.56,10.45 ,9.75 ,270.22 ,387.56 ,2.20,2.11,
2026-03-14,20:17:38.674,0.03,3.43,0.01,0.94,0.10,0.36,0.71,0.72,0.0000,0.0000,16,3,15,64,0.40,0.32,98,0.00,0.00,7793.75,2273.76,2194.51,6.86,137.11,0.07,1.37,9.98,0.01,343.10,1.06,1.35,0.00,97.59,0.00,51.74,48.26,0.00,156.34,18.36,115.50,2.15,0.07,3.48,0.02,0.97,0.08,0.25,0.65,0.78,0.0000,0.0000,16,3,14,65, 39260,612,5,0.39,0.31,99,0.00,0.00,43,7780.08,2237.07,2194.51,6.96,139.11,0.14,2.73,0.00,0.37,0.00,0.36,0.01,0.11,0.86,0.22,0.0011,0.0084,43,9,36,10, 10972,0,5,0.01,0.01,26,0.00,0.00,45,13.67,36.69,2194.51,0.75,14.91,0.00,0.00,2.33,2.34,2.34,  0%,  0%,  0%,0.98,1.02,0.97,  0%,  0%,  0%,57.06,56.78,56.72,  0%,  0%,  0%,57.38,57.22,57.92,  0%,  0%,  0%,2.03,2.38,0.00,95.60,0.00,100.00,0.00,0.00,0.09,0.33,0.00,99.58,0.00,3.47,96.53,0.00,83.23,73.11,9.21 ,9.15 ,111.96 ,130.68 ,2.20,2.10,
2026-03-14,20:17:39.675,0.03,3.26,0.01,0.92,0.31,0.83,0.61,0.63,0.0000,0.0001,17,3,16,61,0.53,0.46,96,0.00,0.00,7942.56,2433.18,2196.33,6.53,130.57,0.07,1.39,31.64,0.03,496.49,1.16,1.64,0.00,97.20,0.00,53.24,46.76,0.00,156.90,18.52,118.17,2.15,0.07,3.33,0.02,0.95,0.28,0.64,0.55,0.68,0.0000,0.0001,17,3,16,62, 39208,852777,0,0.51,0.44,99,0.00,0.00,44,7921.63,2378.45,2196.33,6.66,133.22,0.14,2.77,0.00,0.38,0.00,0.36,0.03,0.19,0.84,0.22,0.0014,0.0091,44,9,35,11, 13000,4,4,0.03,0.01,15,0.00,0.00,45,20.93,54.73,2196.33,0.77,15.30,0.00,0.01,8.65,8.64,8.65,  0%,  0%,  0%,1.92,1.91,1.87,  0%,  0%,  0%,80.77,80.25,79.94,  0%,  0%,  0%,84.95,84.69,85.89,  0%,  0%,  0%,2.19,2.82,0.00,94.99,0.00,100.00,0.00,0.00,0.13,0.47,0.00,99.40,0.00,6.47,93.53,0.00,83.76,73.14,9.35 ,9.17 ,114.99 ,128.04 ,2.20,2.10,
2026-03-14,20:17:40.675,0.03,3.42,0.01,0.93,0.10,0.39,0.74,0.71,0.0000,0.0000,16,3,15,64,0.45,0.35,96,0.00,0.00,7815.68,2287.85,2194.87,6.83,136.65,0.07,1.37,24.42,0.03,338.06,1.07,1.34,0.00,97.58,0.00,52.22,47.78,0.00,156.17,18.46,120.04,2.15,0.07,3.48,0.02,0.97,0.07,0.24,0.67,0.79,0.0000,0.0000,16,3,14,65, 39156,687,3,0.44,0.34,97,0.00,0.00,43,7797.13,2241.12,2194.87,6.96,139.16,0.14,2.73,0.00,0.40,0.00,0.36,0.02,0.15,0.84,0.23,0.0012,0.0080,39,8,40,12, 24960,3,14,0.01,0.01,34,0.00,0.00,45,18.55,46.73,2194.87,0.79,15.88,0.00,0.01,2.17,2.20,2.21,  0%,  0%,  0%,5.95,5.97,5.92,  0%,  0%,  0%,57.74,57.55,57.87,  0%,  0%,  0%,55.19,54.60,55.11,  0%,  0%,  0%,2.03,2.36,0.00,95.61,0.00,100.00,0.00,0.00,0.11,0.33,0.00,99.55,0.00,4.44,95.56,0.00,83.15,73.02,9.28 ,9.18 ,110.39 ,145.66 ,2.20,2.10,
2026-03-14,20:17:41.682,0.28,0.37,0.76,0.99,158.20,371.30,0.53,0.48,0.0025,0.0058,4,0,81,13,72.36,19.12,67,0.00,0.00,63867.47,173479.13,2202.30,0.74,14.73,0.56,11.15,29567.04,0.32,71942.80,76.42,5.48,0.00,18.10,0.00,92.87,7.13,0.00,311.43,38.46,298.23,2.18,0.31,0.40,0.76,0.99,92.78,196.92,0.49,0.49,0.0027,0.0056,5,0,79,14, 39052,46700,271,66.72,12.99,62,0.00,0.00,40,35007.80,86825.95,2202.30,0.81,16.13,0.61,12.23,0.25,0.33,0.76,0.99,65.42,174.38,0.59,0.47,0.0023,0.0060,4,0,82,12, 39780,10884,27567,5.64,6.13,97,0.00,0.00,40,28859.67,86653.18,2202.30,0.67,13.32,0.50,10.08,227.78,211.20,202.91,  0%,  0%,  0%,9644.85,9635.53,9644.76, 38%, 38%, 38%,15437.98,15444.77,15418.72, 61%, 61%, 61%,8927.71,8344.93,8368.68, 35%, 33%, 33%,76.52,5.48,0.00,18.01,0.00,96.71,3.29,0.00,76.32,5.48,0.00,18.20,0.00,89.03,10.97,0.00,163.15,148.28,25.78 ,12.69 ,247.29 ,360.64 ,2.19,2.18,
2026-03-14,20:17:42.682,0.27,0.32,0.83,0.99,200.23,267.81,0.21,0.57,0.0033,0.0044,3,1,82,11,86.58,11.65,61,0.00,0.00,61064.91,188771.51,2194.63,0.65,12.94,0.54,10.71,37909.23,0.39,85271.39,83.18,5.03,0.00,11.79,0.00,97.62,2.38,0.00,309.47,39.45,327.88,2.19,0.31,0.37,0.84,0.99,121.11,161.30,0.21,0.56,0.0034,0.0046,4,1,80,13, 42172,52376,978,83.57,8.46,59,0.00,0.00,39,35431.22,95854.31,2194.63,0.74,14.79,0.62,12.43,0.22,0.28,0.81,1.00,79.11,106.52,0.22,0.58,0.0031,0.0042,3,1,85,10, 42276,4394,35145,3.01,3.18,83,0.00,0.00,39,25633.68,92917.20,2194.63,0.55,11.04,0.45,8.99,328.56,311.58,302.73,  1%,  1%,  1%,12331.68,12312.75,12321.93, 49%, 49%, 49%,18617.22,18619.89,18620.96, 74%, 74%, 74%,10283.54,9555.74,9574.04, 41%, 38%, 38%,84.50,4.00,0.00,11.50,0.00,95.24,4.76,0.00,81.87,6.06,0.00,12.07,0.00,100.00,0.00,0.00,164.63,144.84,28.15 ,11.30 ,263.93 ,410.39 ,2.18,2.20,
